order_id,status,stage,date
ORD-073,IN_PROGRESS,ORDERED,2026/3/21
ORD-073,IN_PROGRESS,KNITTING,2026/3/30
ORD-073,IN_PROGRESS,ASSEMBLY,2026/3/31
ORD-074,COMPLETE,COMPLETE,2026/3/10
ORD-075,COMPLETE,COMPLETE,2026/3/11
ORD-076,COMPLETE,COMPLETE,2026/2/8
ORD-077,COMPLETE,COMPLETE,2026/1/29
ORD-078,COMPLETE,COMPLETE,2026/2/11
ORD-079,COMPLETE,COMPLETE,2026/3/23
ORD-080,COMPLETE,COMPLETE,2026/2/18
ORD-081,IN_PROGRESS,ORDERED,2026/3/18
ORD-081,IN_PROGRESS,KNITTING,2026/3/27
ORD-081,IN_PROGRESS,ASSEMBLY,2026/3/30
ORD-082,IN_PROGRESS,ORDERED,2026/3/27
ORD-082,IN_PROGRESS,KNITTING,2026/3/30
ORD-083,IN_PROGRESS,ORDERED,2026/3/7
ORD-083,IN_PROGRESS,KNITTING,2026/3/27
ORD-083,IN_PROGRESS,ASSEMBLY,2026/3/28
ORD-083,IN_PROGRESS,WASHING,2026/3/30
ORD-084,IN_PROGRESS,ORDERED,2026/3/13
ORD-084,IN_PROGRESS,KNITTING,2026/3/24
ORD-084,IN_PROGRESS,ASSEMBLY,2026/3/25
ORD-084,IN_PROGRESS,WASHING,2026/3/26
ORD-084,IN_PROGRESS,PACKING,2026/3/27
ORD-084,COMPLETE,COMPLETE,2026/3/28
ORD-085,COMPLETE,COMPLETE,2026/3/5
ORD-086,COMPLETE,COMPLETE,2026/2/9
ORD-087,COMPLETE,COMPLETE,2026/2/18
ORD-088,COMPLETE,COMPLETE,2026/3/18
ORD-089,COMPLETE,COMPLETE,2026/2/15
ORD-090,COMPLETE,COMPLETE,2026/3/6
ORD-091,COMPLETE,COMPLETE,2026/1/27
ORD-092,COMPLETE,COMPLETE,2026/3/19
ORD-093,IN_PROGRESS,ORDERED,2026/3/14
ORD-093,IN_PROGRESS,KNITTING,2026/3/30
ORD-093,IN_PROGRESS,ASSEMBLY,2026/3/31
ORD-093,IN_PROGRESS,WASHING,2026/4/1
ORD-094,COMPLETE,COMPLETE,2026/1/31
ORD-095,IN_PROGRESS,ORDERED,2026/3/27
ORD-095,IN_PROGRESS,KNITTING,2026/4/1
ORD-096,IN_PROGRESS,ORDERED,2026/3/19
ORD-096,IN_PROGRESS,KNITTING,2026/4/1
ORD-097,COMPLETE,COMPLETE,2026/3/9
ORD-098,COMPLETE,COMPLETE,2026/2/6
ORD-099,IN_PROGRESS,ORDERED,2026/3/7
ORD-099,IN_PROGRESS,KNITTING,2026/3/26
ORD-099,IN_PROGRESS,ASSEMBLY,2026/3/28
ORD-099,IN_PROGRESS,WASHING,2026/3/31
ORD-100,COMPLETE,COMPLETE,2026/2/4
ORD-101,COMPLETE,COMPLETE,2026/2/7
ORD-102,COMPLETE,COMPLETE,2026/2/12
ORD-103,IN_PROGRESS,ORDERED,2026/3/9
ORD-103,IN_PROGRESS,KNITTING,2026/3/27
ORD-103,IN_PROGRESS,ASSEMBLY,2026/3/30
ORD-104,COMPLETE,COMPLETE,2026/3/11
ORD-105,COMPLETE,COMPLETE,2026/1/27
ORD-106,COMPLETE,COMPLETE,2026/2/1
ORD-107,IN_PROGRESS,KNITTING,2026/3/23
ORD-107,IN_PROGRESS,ASSEMBLY,2026/3/25
ORD-107,IN_PROGRESS,WASHING,2026/3/28
ORD-107,IN_PROGRESS,PACKING,2026/4/1
ORD-108,IN_PROGRESS,ORDERED,2026/3/17
ORD-108,IN_PROGRESS,KNITTING,2026/3/28
ORD-108,IN_PROGRESS,ASSEMBLY,2026/3/31
ORD-109,IN_PROGRESS,ORDERED,2026/3/10
ORD-109,IN_PROGRESS,KNITTING,2026/3/27
ORD-109,IN_PROGRESS,ASSEMBLY,2026/3/28
ORD-109,IN_PROGRESS,WASHING,2026/3/30
ORD-110,COMPLETE,COMPLETE,2026/1/27
ORD-111,COMPLETE,COMPLETE,2026/3/22
ORD-112,IN_PROGRESS,PACKING,2026/3/23
ORD-112,COMPLETE,COMPLETE,2026/3/24
ORD-113,IN_PROGRESS,ASSEMBLY,2026/3/23
ORD-113,IN_PROGRESS,WASHING,2026/3/24
ORD-113,IN_PROGRESS,PACKING,2026/3/25
ORD-113,COMPLETE,COMPLETE,2026/3/26
ORD-114,IN_PROGRESS,ASSEMBLY,2026/3/23
ORD-114,IN_PROGRESS,WASHING,2026/3/26
ORD-114,IN_PROGRESS,PACKING,2026/3/30
ORD-115,COMPLETE,COMPLETE,2026/2/28
ORD-116,COMPLETE,COMPLETE,2026/2/11
ORD-117,COMPLETE,COMPLETE,2026/2/2
ORD-118,COMPLETE,COMPLETE,2026/2/10
ORD-119,COMPLETE,COMPLETE,2026/2/27
ORD-120,IN_PROGRESS,ORDERED,2026/2/27
ORD-120,IN_PROGRESS,KNITTING,2026/3/27
ORD-120,IN_PROGRESS,ASSEMBLY,2026/3/30
