date,stage,pieces_completed
2026-03-06,PACKING,722
2026-03-07,KNITTING,999
2026-03-07,ASSEMBLY,912
2026-03-07,WASHING,798
2026-03-07,PACKING,682
2026-03-08,KNITTING,0
2026-03-08,ASSEMBLY,0
2026-03-08,WASHING,0
2026-03-08,PACKING,0
2026-03-09,KNITTING,878
2026-03-09,ASSEMBLY,770
2026-03-09,WASHING,598
2026-03-09,PACKING,642
2026-03-10,KNITTING,797
2026-03-10,ASSEMBLY,761
2026-03-10,WASHING,737
2026-03-10,PACKING,605
2026-03-11,KNITTING,924
2026-03-11,ASSEMBLY,855
2026-03-11,WASHING,740
2026-03-11,PACKING,662
2026-03-12,KNITTING,837
2026-03-12,ASSEMBLY,755
2026-03-12,WASHING,671
2026-03-12,PACKING,679
2026-03-13,KNITTING,772
2026-03-13,ASSEMBLY,799
2026-03-13,WASHING,711
2026-03-13,PACKING,714
2026-03-14,KNITTING,768
2026-03-14,ASSEMBLY,763
2026-03-14,WASHING,602
2026-03-14,PACKING,619
2026-03-15,KNITTING,0
2026-03-15,ASSEMBLY,0
2026-03-15,WASHING,0
2026-03-15,PACKING,0
2026-03-16,KNITTING,867
2026-03-16,ASSEMBLY,788
2026-03-16,WASHING,679
2026-03-16,PACKING,631
2026-03-17,KNITTING,909
2026-03-17,ASSEMBLY,735
2026-03-17,WASHING,617
2026-03-17,PACKING,638
2026-03-18,KNITTING,960
2026-03-18,ASSEMBLY,882
2026-03-18,WASHING,723
2026-03-18,PACKING,707
2026-03-19,KNITTING,956
2026-03-19,ASSEMBLY,868
2026-03-19,WASHING,701
2026-03-19,PACKING,708
2026-03-20,KNITTING,867
2026-03-20,ASSEMBLY,762
2026-03-20,WASHING,628
2026-03-20,PACKING,627
2026-03-21,KNITTING,871
2026-03-21,ASSEMBLY,746
2026-03-21,WASHING,721
2026-03-21,PACKING,561
2026-03-22,KNITTING,0
2026-03-22,ASSEMBLY,0
2026-03-22,WASHING,0
2026-03-22,PACKING,0
2026-03-23,KNITTING,891
2026-03-23,ASSEMBLY,733
2026-03-23,WASHING,757
2026-03-23,PACKING,667
2026-03-24,KNITTING,992
2026-03-24,ASSEMBLY,779
2026-03-24,WASHING,741
2026-03-24,PACKING,671
2026-03-25,KNITTING,915
2026-03-25,ASSEMBLY,394
2026-03-25,WASHING,801
2026-03-25,PACKING,658
2026-03-26,KNITTING,1033
2026-03-26,ASSEMBLY,464
2026-03-26,WASHING,801
2026-03-26,PACKING,673
2026-03-27,KNITTING,882
2026-03-27,ASSEMBLY,399
2026-03-27,WASHING,793
2026-03-27,PACKING,580
2026-03-28,KNITTING,1031
2026-03-28,ASSEMBLY,445
2026-03-28,WASHING,624
2026-03-28,PACKING,734
2026-03-29,KNITTING,0
2026-03-29,ASSEMBLY,0
2026-03-29,WASHING,0
2026-03-29,PACKING,0
2026-03-30,KNITTING,829
2026-03-30,ASSEMBLY,396
2026-03-30,WASHING,605
2026-03-30,PACKING,625
2026-03-31,KNITTING,905
2026-03-31,ASSEMBLY,455
2026-03-31,WASHING,732
2026-03-31,PACKING,657
